true_x,true_y,meas_x,meas_y,kalman_x,kalman_y
0.000000000000000000e+00,0.000000000000000000e+00,1.523585398772156763e-01,-5.199920531202477658e-01,1.221286948458990829e-01,-4.168191085907894666e-01
1.000000000000000056e-01,5.000000000000000278e-02,4.752255979032286026e-01,5.202823581956069754e-01,2.857500970767488102e-01,1.347295899497424898e-02
2.000000000000000111e-01,1.000000000000000056e-01,-7.755175943269181360e-01,-5.510897534311590684e-01,-8.482593669218790877e-02,-1.742685321558067324e-01
3.000000000000000444e-01,1.500000000000000222e-01,3.639202015836427440e-01,-8.121296171791081431e-03,3.635509936407828324e-02,-1.236619132277049365e-01
4.000000000000000222e-01,2.000000000000000111e-01,3.915994212478556280e-01,-2.265219637867900149e-01,1.419532970463687760e-01,-1.527127326510894778e-01
5.000000000000000000e-01,2.500000000000000000e-01,9.396989874314143343e-01,6.388959677144741001e-01,4.004674312493746724e-01,9.447567945353618768e-02
5.999999999999999778e-01,2.999999999999999889e-01,6.330153487806080559e-01,8.636206034840163692e-01,5.127577175620575689e-01,3.646598673554901637e-01
6.999999999999999556e-01,3.499999999999999778e-01,9.337546711260227283e-01,-7.964623144161914192e-02,6.882406257604394284e-01,2.878772862160479118e-01
7.999999999999999334e-01,3.999999999999999667e-01,9.843753920412493530e-01,-7.944130041449948276e-02,8.360978159074132776e-01,2.199044572468091541e-01
8.999999999999999112e-01,4.499999999999999556e-01,1.339225150653636121e+00,4.250370445068735181e-01,1.047366107204138919e+00,3.059078812268629100e-01
9.999999999999998890e-01,4.999999999999999445e-01,9.075688182273695670e-01,1.595352277980292555e-01,1.090468757515596021e+00,2.990036529441169044e-01
1.099999999999999867e+00,5.499999999999999334e-01,1.711270669337014994e+00,4.727352589655988702e-01,1.327706790513953239e+00,3.726055003868125048e-01
1.199999999999999956e+00,5.999999999999999778e-01,9.858360889184463183e-01,4.239332247558851852e-01,1.332637381585519032e+00,4.174706394828602840e-01
1.300000000000000044e+00,6.500000000000000222e-01,1.566154592776674459e+00,8.327220321820392179e-01,1.468731667722740664e+00,5.482129092439737006e-01
1.400000000000000133e+00,7.000000000000000666e-01,1.606366305797994443e+00,9.154105015039414317e-01,1.584348335955840126e+00,6.712592185571720771e-01
1.500000000000000222e+00,7.500000000000001110e-01,2.570823800435230844e+00,5.467924918076922935e-01,1.882039086391710914e+00,6.912412898294704178e-01
1.600000000000000311e+00,8.000000000000001554e-01,1.343878635464231586e+00,3.931136358760612959e-01,1.873361373247524053e+00,6.745195239518827490e-01
1.700000000000000400e+00,8.500000000000001998e-01,2.007989711287748058e+00,1.414486146360446117e+00,1.992546161193637255e+00,8.589124643740857490e-01
1.800000000000000488e+00,9.000000000000002442e-01,1.743026271172563035e+00,4.799217615187362229e-01,2.039838502159120104e+00,8.371488833593573320e-01
1.900000000000000577e+00,9.500000000000002887e-01,1.487759392154380800e+00,1.275296393912350723e+00,2.031036761924026823e+00,9.602213048602251666e-01
2.000000000000000444e+00,1.000000000000000222e+00,2.371627085601721419e+00,1.271577134152597655e+00,2.173548322461728244e+00,1.063047526623115635e+00
2.100000000000000533e+00,1.050000000000000266e+00,1.767245146355653329e+00,1.166080661533360097e+00,2.192912604276810118e+00,1.132263813482400794e+00
2.200000000000000622e+00,1.100000000000000311e+00,2.258342904570364684e+00,1.209344298364506853e+00,2.285902509066007227e+00,1.197476001738869922e+00
2.300000000000000711e+00,1.150000000000000355e+00,2.735714388974095801e+00,1.261797774387341420e+00,2.438164233565170314e+00,1.260766543192284317e+00
2.400000000000000799e+00,1.200000000000000400e+00,2.739456781535948071e+00,1.233789534744446081e+00,2.569422464310203935e+00,1.310429994601634895e+00
2.500000000000000888e+00,1.250000000000000444e+00,2.644559699344993131e+00,1.565644112919270636e+00,2.668640521095520413e+00,1.400578278391188647e+00
2.600000000000000977e+00,1.300000000000000488e+00,1.871422090072167865e+00,1.140164391821349765e+00,2.645642141638652411e+00,1.419126469068916041e+00
2.700000000000001066e+00,1.350000000000000533e+00,2.464813672853603421e+00,1.030561075878329458e+00,2.703722551814562003e+00,1.419311623447061299e+00
2.800000000000001155e+00,1.400000000000000577e+00,2.662428874386659317e+00,2.147470655617198521e+00,2.779426861820602390e+00,1.565582941440012421e+00
2.900000000000001243e+00,1.450000000000000622e+00,2.467084442153379520e+00,1.934139177295741030e+00,2.819961539610031043e+00,1.667562358270826772e+00
3.000000000000001332e+00,1.500000000000000666e+00,2.158565114192098733e+00,1.332557485007113129e+00,2.815752560550548012e+00,1.682421278397259190e+00
3.100000000000001421e+00,1.550000000000000711e+00,3.181376532552504077e+00,1.843111165679639729e+00,2.934713151335457404e+00,1.756627974757664967e+00
3.200000000000001510e+00,1.600000000000000755e+00,3.555613289896428775e+00,1.996673617599963313e+00,3.084795730657403201e+00,1.840538995250194265e+00
3.300000000000001599e+00,1.650000000000000799e+00,3.125637463875782895e+00,1.418824103667717162e+00,3.168833077150283728e+00,1.847962974674894454e+00
3.400000000000001688e+00,1.700000000000000844e+00,3.828987940628578723e+00,1.604347837559193302e+00,3.323200983348128634e+00,1.874376842936041898e+00
3.500000000000001776e+00,1.750000000000000888e+00,2.862156838331040731e+00,1.183356392998260453e+00,3.354129746280900104e+00,1.850141868281000468e+00
3.600000000000001865e+00,1.800000000000000933e+00,3.140273856999196145e+00,2.048580372026882923e+00,3.410615974187605648e+00,1.921115899836017826e+00
3.700000000000001954e+00,1.850000000000000977e+00,3.771212868035284771e+00,2.195242677033885315e+00,3.527899928452777889e+00,2.000580007001886429e+00
3.800000000000002043e+00,1.900000000000001021e+00,3.586373676831734691e+00,1.979269845538358163e+00,3.614076042055375915e+00,2.049497247865304406e+00
3.900000000000002132e+00,1.950000000000001066e+00,4.212795196983670110e+00,1.795326730139881866e+00,3.756133518634770407e+00,2.074085119896454277e+00
4.000000000000001776e+00,2.000000000000000888e+00,4.228387618778707946e+00,1.669037029466675204e+00,3.886653453833120331e+00,2.082459607743754937e+00
4.100000000000001421e+00,2.050000000000000711e+00,3.918473076717465364e+00,1.859131053000836253e+00,3.973948023085846160e+00,2.107853064198939919e+00
4.200000000000001066e+00,2.100000000000000533e+00,3.602080177205481348e+00,2.343486240392791409e+00,4.021079922212210001e+00,2.177967752485626463e+00
4.300000000000000711e+00,2.150000000000000355e+00,4.065298829898638999e+00,2.156247059363844087e+00,4.107625820833925800e+00,2.223419500069165888e+00
4.400000000000000355e+00,2.200000000000000178e+00,4.640373329452954998e+00,2.423265588014972050e+00,4.241235825241497892e+00,2.290069249292181031e+00
4.500000000000000000e+00,2.250000000000000000e+00,4.832692554486393455e+00,2.200757257745288076e+00,4.381692051799306320e+00,2.329514198820659576e+00
4.599999999999999645e+00,2.299999999999999822e+00,4.388350843977923077e+00,2.260140894546800450e+00,4.468294759620808243e+00,2.370439698195703215e+00
4.699999999999999289e+00,2.349999999999999645e+00,3.856332783020984145e+00,1.626443763788456121e+00,4.496750121441286829e+00,2.347880664438435794e+00
4.799999999999998934e+00,2.399999999999999467e+00,4.138650193822797974e+00,1.901376586199258645e+00,4.546696438763556891e+00,2.350599192881623001e+00
4.899999999999998579e+00,2.449999999999999289e+00,5.099887113361717184e+00,1.997260472319968949e+00,4.679130135743146290e+00,2.360430563454596786e+00
4.999999999999998224e+00,2.499999999999999112e+00,4.810918722980303208e+00,3.149614148893031818e+00,4.774483453377144748e+00,2.473342402368357895e+00
5.099999999999997868e+00,2.549999999999998934e+00,4.921868014469285235e+00,2.918757784233542374e+00,4.871370704727056022e+00,2.557340073775934197e+00
5.199999999999997513e+00,2.599999999999998757e+00,4.733191159995058683e+00,2.497281221066183665e+00,4.942714994462290790e+00,2.597034329404687369e+00
5.299999999999997158e+00,2.649999999999998579e+00,4.824988972544706378e+00,2.480483462049717147e+00,5.015182101935079295e+00,2.631334822007080465e+00
5.399999999999996803e+00,2.699999999999998401e+00,5.820154068728694341e+00,1.836339788403824169e+00,5.169152840119153325e+00,2.604715063445595113e+00
5.499999999999996447e+00,2.749999999999998224e+00,5.717211821772925084e+00,2.868867801166137266e+00,5.302602107316250368e+00,2.669295653636140742e+00
5.599999999999996092e+00,2.799999999999998046e+00,5.302925022151598888e+00,2.076971072805770646e+00,5.389170511895918558e+00,2.659010171816850399e+00
5.699999999999995737e+00,2.849999999999997868e+00,5.736064753856930487e+00,2.585253645468096551e+00,5.505892261928775788e+00,2.692254171837106913e+00
5.799999999999995381e+00,2.899999999999997691e+00,5.916338105677347414e+00,2.910926072761719219e+00,5.628992955904180917e+00,2.750727939746094641e+00
5.899999999999995026e+00,2.949999999999997513e+00,6.700889445660452637e+00,2.830322186263485307e+00,5.810860304091043815e+00,2.797631302023850353e+00
5.999999999999994671e+00,2.999999999999997335e+00,5.488251253689062636e+00,3.089637817478155579e+00,5.874521488860740881e+00,2.863143727516621162e+00
6.099999999999994316e+00,3.049999999999997158e+00,6.209998341985876635e+00,3.729593787620215650e+00,5.993937301340813484e+00,2.979360846676432750e+00
6.199999999999993960e+00,3.099999999999996980e+00,6.617555622957283390e+00,3.278435529574751595e+00,6.139107834608713787e+00,3.049139064965096679e+00
6.299999999999993605e+00,3.149999999999996803e+00,7.031651445609774953e+00,2.555618472838571353e+00,6.309288060259190978e+00,3.051202209314202829e+00
6.399999999999993250e+00,3.199999999999996625e+00,6.080124233625119778e+00,2.736712029297234228e+00,6.385264379323278838e+00,3.066902588740443303e+00
6.499999999999992895e+00,3.249999999999996447e+00,6.305095098422109245e+00,2.561656926221842046e+00,6.472960618128917432e+00,3.064934648451097310e+00
6.599999999999992539e+00,3.299999999999996270e+00,6.917575473407194586e+00,3.188888651450609402e+00,6.605228785833022087e+00,3.115286097804324861e+00
6.699999999999992184e+00,3.349999999999996092e+00,5.964596852748663025e+00,2.842210459396225186e+00,6.645296994452911221e+00,3.131755301011135195e+00
6.799999999999991829e+00,3.399999999999995914e+00,6.956756923725089692e+00,3.819063283947186527e+00,6.764653922565378785e+00,3.229689145231061431e+00
6.899999999999991473e+00,3.449999999999995737e+00,7.898365445845884736e+00,4.906931233003660964e+00,6.955353011888004033e+00,3.414858066952795923e+00
6.999999999999991118e+00,3.499999999999995559e+00,7.207204716637988895e+00,3.005230939984063543e+00,7.073909843296540600e+00,3.426522638415963939e+00
7.099999999999990763e+00,3.549999999999995381e+00,6.033976859634336165e+00,3.683855731171913117e+00,7.082151682734241227e+00,3.493813387470607434e+00
7.199999999999990408e+00,3.599999999999995204e+00,6.793529452344827746e+00,3.392321369910152651e+00,7.150851821568195099e+00,3.531054267462253371e+00
7.299999999999990052e+00,3.649999999999995026e+00,6.993951600470086127e+00,3.579604556791802228e+00,7.229488135313770769e+00,3.580630488902584840e+00
7.399999999999989697e+00,3.699999999999994849e+00,7.932990115393811159e+00,3.778524283722667132e+00,7.380960336634760033e+00,3.643000525515942556e+00
7.499999999999989342e+00,3.749999999999994671e+00,7.420682581480645190e+00,3.232173123587088970e+00,7.477664620782317861e+00,3.653735110470250902e+00
7.599999999999988987e+00,3.799999999999994493e+00,6.762658527647810836e+00,3.556846045463329276e+00,7.509503804621870060e+00,3.689754826745788918e+00
7.699999999999988631e+00,3.849999999999994316e+00,7.673108724590828267e+00,4.733964956789935563e+00,7.613743206106574846e+00,3.822997167016854991e+00
7.799999999999988276e+00,3.899999999999994138e+00,7.865137260736431379e+00,4.391369755511522754e+00,7.725727142173766104e+00,3.918968676995470801e+00
7.899999999999987921e+00,3.949999999999993960e+00,7.650352200730411667e+00,3.357528116791481665e+00,7.810262907688682255e+00,3.920000620415694303e+00
7.999999999999987566e+00,3.999999999999993783e+00,7.517441618883801802e+00,3.637386967732117338e+00,7.875568675208909575e+00,3.942756178074470430e+00
8.099999999999987210e+00,4.049999999999993605e+00,9.164234866217569220e+00,3.639306660387800374e+00,8.074911816433758105e+00,3.962559553124005873e+00
8.199999999999986855e+00,4.099999999999993427e+00,8.619244601868158995e+00,3.648536410956480402e+00,8.214695733216142770e+00,3.980220478052499899e+00
8.299999999999986500e+00,4.149999999999993250e+00,8.765786506437109438e+00,4.342475483052925078e+00,8.356607054301557369e+00,4.054512110540667180e+00
8.399999999999986144e+00,4.199999999999993072e+00,8.321681051170941146e+00,4.179618736932275702e+00,8.449913093544331844e+00,4.109602866131649712e+00
8.499999999999985789e+00,4.249999999999992895e+00,8.172606152285290193e+00,4.473036100741032861e+00,8.521976491991154035e+00,4.185366177173420965e+00
8.599999999999985434e+00,4.299999999999992717e+00,8.372508259829595900e+00,3.687197118116368522e+00,8.603646547381776699e+00,4.188465257163652034e+00
8.699999999999985079e+00,4.349999999999992539e+00,8.061031212840175542e+00,4.436293958861051934e+00,8.650771865874814281e+00,4.253512757009353606e+00
8.799999999999984723e+00,4.399999999999992362e+00,9.589545628205202732e+00,4.479995806786711832e+00,8.822467211716126911e+00,4.317432940944351039e+00
8.899999999999984368e+00,4.449999999999992184e+00,8.840680836945043808e+00,4.592913069801263681e+00,8.918287270212855944e+00,4.386170734987136832e+00
8.999999999999984013e+00,4.499999999999992006e+00,9.653000870853396975e+00,4.609691250681920316e+00,9.075153031118366798e+00,4.451251943262764854e+00
9.099999999999983658e+00,4.549999999999991829e+00,8.894536384583114241e+00,5.103144355029936463e+00,9.155866631289459434e+00,4.553614803925102095e+00
9.199999999999983302e+00,4.599999999999991651e+00,9.414378219230789213e+00,5.367877995997988094e+00,9.273174817056366592e+00,4.671983469479894957e+00
9.299999999999982947e+00,4.649999999999991473e+00,9.391617218610935680e+00,4.037765484139741012e+00,9.379031988948209886e+00,4.669008171343524083e+00
9.399999999999982592e+00,4.699999999999991296e+00,8.715920400377150656e+00,5.525463966115616188e+00,9.418026918141499948e+00,4.791235435772410511e+00
9.499999999999982236e+00,4.749999999999991118e+00,1.036183286039163143e+01,4.660240393358690447e+00,9.591903296776937538e+00,4.831737293076737494e+00
9.599999999999981881e+00,4.799999999999990941e+00,9.408406339431987675e+00,5.530722146121092031e+00,9.672219354115540568e+00,4.942636728604668406e+00
9.699999999999981526e+00,4.849999999999990763e+00,9.146477158978237654e+00,4.402636490522077395e+00,9.722226732606026545e+00,4.949720386736805366e+00
9.799999999999981171e+00,4.899999999999990585e+00,1.012166339734450382e+01,4.702697438570195843e+00,9.849231447688127972e+00,4.979790810006107016e+00
9.899999999999980815e+00,4.949999999999990408e+00,9.897439066639945437e+00,4.868278550737733745e+00,9.947212075100210882e+00,5.020401096757887593e+00
